User_ID,Name,Age,Country,Subscription_Type,Signup_Date,Tenure_Days,Watch_Time_Hours,Favorite_Genre,Last_Login,Days_Since_Login,Support_Tickets,Num_Devices,Churn
1,Hiroshi Miller,34,Japan,Basic,2025-10-30,243,3.2,Drama,2026-06-25,5,0,1,0
2,Wei Jackson,28,USA,Basic,2026-04-15,76,0.62,Horror,2026-06-21,9,1,1,0
3,Jessica Moore,21,Japan,Standard,2025-02-24,491,2.22,Comedy,2026-06-26,4,0,1,1
4,William Garcia,40,UK,Premium,2025-11-26,216,0.67,Romance,2026-06-21,9,0,1,1
5,John Garcia,41,Japan,Premium,2025-08-23,311,4.69,Romance,2026-06-30,0,0,2,0
6,Robert Harris,47,Germany,Premium,2025-02-27,488,7.47,Thriller,2026-06-30,0,0,1,0
7,John Thomas,39,Brazil,Basic,2024-04-13,808,4.69,Crime,2026-06-29,1,2,1,0
8,Sofia Harris,29,India,Standard,2025-09-22,281,0.62,Romance,2026-06-25,5,0,2,0
9,Mary Garcia,44,Mexico,Premium,2025-01-05,541,3.58,Thriller,2026-06-30,0,0,2,0
10,Elizabeth White,39,France,Basic,2025-07-09,356,1.76,Adventure,2026-06-26,4,1,1,1
11,Sofia Miller,45,Mexico,Basic,2025-09-19,284,1.34,Thriller,2026-05-06,55,2,1,1
12,Hiroshi Lewis,51,Germany,Basic,2025-05-12,414,0.0,Drama,2026-06-24,6,0,1,1
13,Thomas Jackson,51,Germany,Premium,2024-08-31,668,3.51,Documentary,2026-06-27,3,1,2,1
14,Ananya Hall,52,India,Standard,2023-07-24,1072,17.95,Horror,2026-06-29,1,0,1,0
15,John Walker,30,UK,Basic,2023-09-08,1026,3.11,Comedy,2026-06-06,24,0,2,1
16,Charles Garcia,27,Australia,Premium,2024-03-12,840,2.44,Thriller,2026-06-09,21,0,4,0
17,Olivia Taylor,34,Germany,Basic,2025-12-11,201,0.0,Horror,2026-06-29,1,0,1,0
18,Sarah Clark,32,Australia,Standard,2024-09-12,656,5.13,Thriller,2026-06-29,1,1,2,0
19,Jessica Young,38,Australia,Premium,2023-11-09,964,12.79,Sci-Fi,2026-06-26,4,0,4,0
20,Sofia Martinez,41,Australia,Standard,2024-04-18,803,3.12,Action,2026-06-29,1,0,1,0
21,Noah Wilson,58,Mexico,Basic,2024-12-07,570,5.62,Action,2026-06-28,2,1,2,0
22,Noah Johnson,18,Mexico,Basic,2025-03-27,460,2.53,Adventure,2026-06-29,1,0,1,0
23,Joseph Johnson,44,Brazil,Premium,2026-04-25,66,1.26,Romance,2026-06-29,1,0,1,0
24,Noah Miller,40,Brazil,Standard,2024-11-08,599,6.11,Horror,2026-06-15,15,0,1,0
25,Sofia Wilson,21,Germany,Basic,2025-12-26,186,2.02,Thriller,2026-06-30,0,0,1,0
26,Emma Anderson,35,Canada,Premium,2025-12-21,191,2.11,Adventure,2026-06-30,0,0,3,0
27,Sarah Johnson,54,Mexico,Standard,2024-02-15,866,0.0,Documentary,2026-06-29,1,1,1,1
28,Barbara Martinez,37,Australia,Basic,2023-07-29,1067,0.0,Horror,2026-06-26,4,1,2,0
29,James Brown,48,Mexico,Standard,2025-08-24,310,3.0,Thriller,2026-06-24,6,0,2,0
30,Mary Harris,31,France,Standard,2026-02-14,136,0.0,Action,2026-06-30,0,0,3,0
31,Sofia Hall,32,Australia,Premium,2026-01-21,160,0.0,Fantasy,2026-05-31,30,0,1,1
32,David Brown,30,Australia,Standard,2025-12-05,207,4.13,Sci-Fi,2026-06-27,3,1,1,0
33,Emma Taylor,25,Japan,Standard,2026-02-26,124,1.42,Sci-Fi,2026-06-30,0,0,2,0
34,Robert Taylor,29,UK,Basic,2024-08-12,687,2.68,Fantasy,2026-05-14,47,2,1,1
35,Jennifer Wilson,18,Canada,Premium,2023-11-22,951,15.29,Sci-Fi,2026-06-29,1,1,3,0
36,William White,18,USA,Basic,2025-09-15,288,1.98,Thriller,2026-06-29,1,0,1,0
37,Michael Brown,24,Brazil,Basic,2024-01-02,910,5.93,Sci-Fi,2026-06-29,1,0,1,0
38,Wei Hall,35,Germany,Standard,2024-01-28,884,12.25,Romance,2026-06-30,0,0,2,0
39,Barbara Anderson,48,Canada,Basic,2024-10-03,635,0.77,Sci-Fi,2026-06-30,0,0,1,0
40,Carlos Wilson,25,India,Basic,2023-10-17,987,2.16,Romance,2026-06-27,3,1,1,0
41,Jessica Smith,27,Canada,Premium,2025-01-11,535,1.36,Romance,2026-06-28,2,2,2,0
42,Ananya Johnson,51,Japan,Standard,2025-09-01,302,3.22,Horror,2026-06-24,6,3,1,0
43,Lucas Walker,32,Mexico,Standard,2024-05-25,766,1.72,Documentary,2026-06-22,8,1,1,1
44,Karen Lewis,29,India,Basic,2023-07-26,1070,1.84,Documentary,2026-06-26,4,1,2,1
45,Jessica Hall,24,India,Standard,2024-01-19,893,5.29,Documentary,2026-06-28,2,1,1,0
46,Lucas Walker,30,India,Basic,2026-05-29,32,0.52,Sci-Fi,2026-06-29,1,0,1,1
47,Wei Miller,39,Canada,Basic,2024-09-23,645,5.55,Sci-Fi,2026-06-30,0,1,1,1
48,Joseph Young,36,Japan,Basic,2026-04-26,65,0.0,Romance,2026-06-08,22,0,4,1
49,Karen Clark,36,France,Basic,2023-09-21,1013,5.64,Sci-Fi,2026-06-30,0,1,3,0
50,Lucas Johnson,33,Canada,Premium,2026-04-09,82,0.0,Adventure,2026-05-22,39,1,1,1
51,Patricia Miller,46,Japan,Standard,2024-07-18,712,2.08,Fantasy,2026-06-28,2,1,3,0
52,Olivia Lewis,22,Canada,Standard,2023-12-08,935,6.72,Comedy,2026-06-27,3,0,3,0
53,Patricia Garcia,42,Brazil,Basic,2025-09-12,291,5.76,Sci-Fi,2026-06-24,6,0,1,0
54,Mary Anderson,43,France,Standard,2026-05-01,60,0.0,Sci-Fi,2026-06-24,6,0,1,1
55,Mary Walker,43,Brazil,Premium,2023-08-13,1052,8.22,Sci-Fi,2026-06-30,0,0,2,0
56,Susan Brown,44,India,Premium,2023-12-29,914,8.89,Thriller,2026-06-29,1,0,1,0
57,Richard Thomas,29,Germany,Basic,2025-02-17,498,3.32,Thriller,2026-06-30,0,0,1,0
58,Barbara Jackson,36,Japan,Standard,2025-04-20,436,7.71,Romance,2026-06-30,0,2,2,0
59,Jessica Brown,41,Brazil,Basic,2025-06-26,369,6.46,Documentary,2026-06-30,0,0,2,0
60,Susan Martinez,53,Australia,Basic,2026-05-10,51,0.0,Fantasy,2026-05-27,34,0,1,1
61,Robert Johnson,35,UK,Standard,2026-02-20,130,0.0,Comedy,2026-06-12,18,0,1,1
62,Patricia Harris,42,Germany,Basic,2026-01-16,165,6.55,Sci-Fi,2026-06-30,0,0,1,0
63,Michael Walker,45,France,Standard,2024-08-03,696,3.09,Horror,2026-06-09,21,0,2,0
64,Mary Anderson,47,India,Standard,2023-09-17,1017,0.77,Thriller,2026-06-29,1,0,2,1
65,Sofia Walker,50,Canada,Premium,2026-04-25,66,0.5,Adventure,2026-06-30,0,0,1,0
66,Ananya Anderson,18,Canada,Standard,2024-09-09,659,2.51,Drama,2026-06-01,29,0,3,1
67,John Hall,27,Japan,Basic,2025-09-12,291,0.94,Drama,2026-06-30,0,1,1,0
68,Elizabeth Thomas,38,UK,Premium,2024-01-28,884,10.82,Horror,2026-06-25,5,1,3,0
69,Linda White,33,Germany,Premium,2023-09-26,1008,8.66,Documentary,2026-06-26,4,0,2,0
70,Sarah Young,28,UK,Standard,2025-11-16,226,2.3,Fantasy,2026-06-29,1,1,3,1
71,Charles Lewis,34,UK,Basic,2025-08-07,327,2.94,Sci-Fi,2026-06-30,0,0,1,0
72,Robert Brown,27,Mexico,Premium,2024-08-16,683,10.1,Romance,2026-06-30,0,0,3,0
73,John Jackson,44,Japan,Standard,2023-12-26,917,1.27,Documentary,2026-05-22,39,0,2,1
74,Hiroshi Garcia,48,Japan,Premium,2025-07-22,343,1.02,Fantasy,2026-06-30,0,0,2,1
75,Linda Wilson,43,France,Premium,2025-04-06,450,1.63,Documentary,2026-06-23,7,0,1,1
76,Charles Jackson,56,USA,Premium,2025-04-22,434,0.31,Horror,2026-06-25,5,0,3,0
77,Karen Walker,46,India,Premium,2025-04-20,436,3.8,Romance,2026-06-29,1,2,3,0
78,Karen Martinez,51,Australia,Standard,2024-02-14,867,13.12,Action,2026-06-30,0,0,1,0
79,Sarah Lewis,37,Canada,Basic,2025-02-13,502,14.57,Fantasy,2026-06-28,2,0,1,0
80,Susan Davis,60,USA,Premium,2026-05-14,47,1.4,Thriller,2026-06-30,0,2,2,1
81,Patricia Brown,43,Canada,Premium,2024-06-25,735,7.48,Romance,2026-06-30,0,0,5,0
82,John Davis,39,Canada,Basic,2025-04-09,447,2.4,Horror,2026-06-30,0,0,4,0
83,Jennifer Martinez,38,France,Basic,2023-09-01,1033,2.78,Sci-Fi,2026-06-25,5,1,1,0
84,William Young,29,Australia,Basic,2025-08-13,321,1.18,Sci-Fi,2026-06-12,18,0,1,1
85,Thomas Garcia,24,Canada,Premium,2026-01-14,167,0.73,Romance,2026-06-27,3,1,1,0
86,Hiroshi Moore,47,India,Basic,2023-12-11,932,12.11,Sci-Fi,2026-06-24,6,0,1,0
87,Mary Garcia,57,USA,Standard,2023-12-29,914,8.3,Sci-Fi,2026-06-30,0,1,1,0
88,David Lewis,18,Germany,Basic,2026-01-19,162,0.0,Crime,2026-06-26,4,0,1,1
89,Noah Hall,22,UK,Premium,2025-12-30,182,1.58,Crime,2026-06-29,1,0,1,0
90,Olivia White,22,Canada,Premium,2024-06-11,749,5.61,Sci-Fi,2026-06-30,0,0,2,0
91,Noah Clark,35,Brazil,Standard,2025-08-29,305,1.64,Documentary,2026-06-29,1,0,2,0
92,Jennifer Jackson,43,Canada,Standard,2026-05-03,58,1.24,Action,2026-06-10,20,0,1,0
93,Emma Thomas,37,India,Premium,2024-03-08,844,11.13,Crime,2026-06-30,0,1,1,0
94,Patricia Young,28,Canada,Standard,2026-02-18,132,0.27,Drama,2026-06-28,2,0,1,0
95,James Lewis,68,Brazil,Basic,2025-08-04,330,1.45,Action,2026-06-29,1,1,1,0
96,Ananya Taylor,37,Mexico,Standard,2025-11-04,238,3.68,Comedy,2026-06-08,22,0,1,0
97,Patricia Anderson,27,USA,Basic,2023-08-15,1050,1.94,Sci-Fi,2026-06-25,5,3,1,1
98,David Garcia,46,Canada,Premium,2024-01-24,888,1.63,Crime,2026-06-11,19,1,1,1
99,Patricia Lewis,24,USA,Standard,2025-07-05,360,0.5,Documentary,2026-06-12,18,1,1,1
100,Jennifer Young,19,France,Premium,2024-03-06,846,5.87,Thriller,2026-06-24,6,0,4,0
101,Elizabeth Young,31,UK,Standard,2026-02-08,142,0.74,Action,2026-06-30,0,0,1,0
102,Charles Smith,35,USA,Basic,2025-03-07,480,5.15,Action,2026-06-29,1,1,1,0
103,Hiroshi Young,50,Germany,Standard,2024-12-16,561,2.38,Adventure,2026-06-03,27,0,1,1
104,Mary Brown,41,Mexico,Standard,2026-05-04,57,0.0,Horror,2026-06-30,0,1,1,0
105,Hiroshi Walker,45,UK,Basic,2026-02-12,138,1.62,Sci-Fi,2026-06-25,5,0,3,0
106,Sofia Walker,37,USA,Basic,2024-12-06,571,4.21,Documentary,2026-06-30,0,0,1,0
107,David Davis,53,UK,Premium,2024-11-16,591,0.45,Documentary,2026-06-09,21,0,1,0
108,Jessica Taylor,18,Brazil,Premium,2024-06-12,748,5.91,Action,2026-06-30,0,0,1,0
109,Mary Martinez,18,Australia,Standard,2025-06-14,381,1.97,Horror,2026-06-22,8,1,1,0
110,Sarah Walker,26,Canada,Basic,2024-08-31,668,1.63,Sci-Fi,2026-06-27,3,1,2,0
111,Robert Wilson,41,USA,Standard,2024-12-05,572,1.79,Documentary,2026-06-28,2,0,1,1
112,Emma White,68,France,Basic,2024-10-13,625,3.35,Adventure,2026-06-11,19,1,1,0
113,Ananya Brown,36,Germany,Basic,2023-07-24,1072,7.49,Fantasy,2026-06-28,2,0,1,0
114,Karen Walker,31,France,Premium,2026-03-19,103,1.4,Romance,2026-06-29,1,2,1,1
115,Karen Young,18,Japan,Standard,2026-01-08,173,0.0,Documentary,2026-06-16,14,0,2,1
116,Sofia Taylor,53,Canada,Standard,2025-05-30,396,4.6,Thriller,2026-06-30,0,0,1,0
117,Emma Anderson,35,Brazil,Standard,2024-01-03,909,0.32,Crime,2026-06-07,23,0,1,0
118,Elizabeth Anderson,29,Mexico,Basic,2025-06-21,374,2.15,Documentary,2026-06-30,0,0,1,0
119,Lucas Smith,20,UK,Premium,2025-06-05,390,0.96,Thriller,2026-06-24,6,1,1,1
120,Olivia Jackson,28,UK,Premium,2024-02-14,867,14.86,Sci-Fi,2026-06-30,0,1,1,0
121,Hiroshi Miller,39,Japan,Standard,2024-02-03,878,0.6,Adventure,2026-04-04,87,2,1,1
122,Richard Lewis,25,Brazil,Premium,2023-12-29,914,9.6,Romance,2026-06-29,1,0,5,0
123,Michael Jackson,53,Japan,Standard,2024-12-14,563,0.0,Horror,2026-06-13,17,1,3,1
124,Richard Young,45,Mexico,Basic,2024-09-28,640,2.43,Action,2026-06-30,0,0,2,0
125,Noah Jackson,40,India,Premium,2024-05-05,786,10.94,Horror,2026-06-28,2,1,1,0
126,Jessica Jackson,36,India,Basic,2023-11-14,959,0.93,Fantasy,2026-06-16,14,0,1,1
127,Sofia Young,31,Germany,Basic,2024-12-29,548,0.34,Crime,2026-06-30,0,0,2,0
128,Robert Brown,25,Australia,Premium,2025-07-11,354,3.48,Thriller,2026-06-30,0,0,2,0
129,Patricia Brown,57,UK,Premium,2023-12-02,941,3.52,Adventure,2026-06-11,19,1,4,0
130,Jessica Miller,47,Brazil,Basic,2023-10-07,997,14.41,Documentary,2026-06-29,1,1,1,0
131,Robert Brown,35,Mexico,Standard,2025-07-07,358,0.0,Comedy,2026-06-24,6,1,1,1
132,Fatima Jackson,32,Brazil,Premium,2025-03-28,459,3.57,Thriller,2026-06-24,6,0,2,0
133,Elizabeth Brown,41,USA,Basic,2024-01-20,892,7.92,Sci-Fi,2026-06-28,2,3,1,0
134,Jessica Young,34,USA,Premium,2025-10-08,265,0.51,Romance,2026-06-08,22,0,1,1
135,Elizabeth Thomas,39,Germany,Premium,2024-08-11,688,1.78,Romance,2026-06-27,3,0,1,0
136,Charles Brown,20,India,Standard,2025-08-08,326,3.37,Documentary,2026-06-28,2,0,3,1
137,Noah Thomas,52,Japan,Standard,2024-08-29,670,0.48,Documentary,2026-06-12,18,1,2,1
138,Carlos White,39,UK,Basic,2025-11-24,218,1.14,Fantasy,2026-06-26,4,0,1,0
139,William Hall,53,Japan,Basic,2025-10-19,254,0.0,Thriller,2026-06-29,1,0,1,0
140,Mary Brown,34,India,Premium,2025-10-16,257,2.99,Sci-Fi,2026-06-28,2,0,1,1
141,Barbara Smith,35,Mexico,Standard,2024-09-22,646,5.02,Fantasy,2026-06-30,0,0,2,0
142,William Walker,54,Canada,Premium,2026-04-04,87,0.14,Crime,2026-06-27,3,1,1,1
143,Noah Jackson,61,Germany,Standard,2024-08-11,688,1.32,Horror,2026-06-29,1,0,2,1
144,Mary Taylor,26,India,Standard,2026-05-05,56,1.18,Thriller,2026-06-12,18,0,1,1
145,Elizabeth Brown,38,Brazil,Standard,2024-06-14,746,7.51,Thriller,2026-06-29,1,2,5,0
146,Jessica White,33,India,Standard,2023-12-03,940,5.15,Fantasy,2026-06-29,1,1,4,0
147,Jennifer Harris,50,Mexico,Basic,2023-07-23,1073,8.85,Crime,2026-06-30,0,0,1,0
148,Sofia Lewis,41,USA,Basic,2024-12-01,576,0.76,Romance,2026-06-30,0,1,1,0
149,Jessica Clark,38,Japan,Premium,2025-02-03,512,2.07,Comedy,2026-06-23,7,0,2,0
150,Elizabeth Anderson,18,France,Basic,2026-02-26,124,0.0,Adventure,2026-06-29,1,1,4,0
151,Fatima Wilson,21,France,Premium,2024-12-22,555,1.62,Comedy,2026-06-16,14,1,3,1
152,Noah Thomas,23,UK,Standard,2026-01-15,166,1.41,Drama,2026-06-22,8,0,1,0
153,Thomas Smith,33,UK,Standard,2024-07-02,728,4.79,Documentary,2026-06-26,4,0,1,0
154,Elizabeth Thomas,26,USA,Basic,2025-11-22,220,0.36,Fantasy,2026-06-24,6,2,1,1
155,Mary Harris,50,Canada,Standard,2025-02-24,491,0.8,Crime,2026-06-29,1,1,2,0
156,Wei Wilson,29,India,Basic,2024-10-25,613,1.64,Action,2026-06-27,3,1,1,0
157,William Miller,18,Canada,Premium,2025-02-15,500,1.98,Documentary,2026-06-19,11,0,5,0
